state,cases,deaths
AL,191860244,3647813
AK,25570284,126057
AZ,295551128,5624201
AR,122173357,1996288
CA,1278936139,19366783
CO,177253474,2202902
CT,108165572,2599570
DE,34765371,533743
DC,15920847,352918
FL,816131253,12734831
GA,377694957,6545610
HI,14325886,178729
ID,66189297,734195
IL,447711654,8050121
IN,251209184,4395177
IA,123373730,1920238
KS,108295309,1661880
KY,162436144,2212097
LA,172996518,3592063
ME,21422311,270600
MD,146112282,2947651
MA,222519971,5602712
MI,301270231,6334376
MN,193339604,2402945
MS,115032787,2470502
MO,213010929,3196037
MT,38716326,535560
NE,73692742,791793
NV,111152733,1859203
NH,31282312,424717
NJ,315215837,8206080
NM,68322668,1350391
NY,654153255,16496861
NC,339677765,4284452
ND,36712992,503477
OH,367433293,6176661
OK,156576164,2204220
OR,71944411,926527
PA,380325344,8573554
SC,203148310,3199240
SD,40728720,643347
TN,293516354,4036635
TX,1010541228,16945851
UT,137050877,759004
VT,7806566,82670
VA,221000720,3439710
WA,151213519,1949356
WV,55404077,937610
WI,223318391,2525488
WY,21651706,253765
