state,cases,deaths,deathrate,cases21,deaths21,deathrate21
AL,896614,16455,0.018352379,365747,4872,0.013320683
AK,156130,954,0.006110293,46740,198,0.0042362
AZ,1389708,24354,0.017524545,530267,9015,0.017000869
AR,570641,9180,0.016087172,229442,3711,0.016174022
CA,5515613,76709,0.013907611,2345811,26236,0.011184192
CO,933257,10480,0.01122949,338357,4936,0.014588142
CT,510188,9160,0.017954166,185708,5995,0.032281862
DE,183880,2286,0.012432021,58064,930,0.016016809
DC,94286,1211,0.0128439,29252,788,0.026938329
FL,4166392,62504,0.015001949,1323307,21672,0.016377152
GA,1798497,30283,0.016837949,654950,10610,0.01619971
HI,112283,1091,0.00971652,21736,287,0.013203901
ID,319442,4163,0.0130321,141388,1438,0.010170594
IL,2154058,31017,0.014399334,966287,17979,0.018606273
IN,1250565,19037,0.015222719,520750,8371,0.016074892
IA,575501,7858,0.01365419,282980,3898,0.013774825
KS,520500,7030,0.013506244,230352,2879,0.012498264
KY,866041,12149,0.014028204,269470,2956,0.010969681
LA,828695,14986,0.018083855,315275,7488,0.023750694
ME,146736,1531,0.010433704,24201,347,0.01433825
MD,700789,11758,0.016778231,280387,5942,0.021192138
MA,1140614,20273,0.01777376,375178,12423,0.033112283
MI,1706355,28984,0.016985914,526845,13011,0.024696068
MN,1022352,10656,0.010423025,415361,5382,0.012957403
MS,543737,10450,0.01921885,218386,4816,0.022052696
MO,1023310,16227,0.015857365,421217,5906,0.014021276
MT,197784,2907,0.014697852,81701,962,0.011774642
NE,338257,3336,0.009862324,168567,1707,0.010126537
NV,501181,8420,0.016800318,227046,3146,0.013856223
NH,198667,1961,0.009870789,44028,759,0.01723903
NJ,1596644,29053,0.018196292,484882,19160,0.039514769
NM,350043,5857,0.01673223,144142,2504,0.017371758
NY,3555047,59072,0.016616377,996073,37733,0.037881762
NC,1685504,19436,0.011531269,543976,6819,0.01253548
ND,174671,2057,0.011776425,92777,1316,0.01418455
OH,2016095,29447,0.014605959,700380,8962,0.012795911
OK,708938,11552,0.016294796,290936,2489,0.008555146
OR,421263,5655,0.013423918,115377,1501,0.013009525
PA,2059613,36714,0.017825679,652952,16247,0.02488238
SC,975320,14636,0.015006357,307507,5296,0.017222372
SD,179204,2486,0.013872458,99164,1488,0.015005446
TN,1379917,20640,0.014957421,572579,6846,0.011956429
TX,4578763,76062,0.01661191,1778306,28434,0.015989374
UT,637144,3787,0.005943711,276612,1273,0.004602114
VT,64447,471,0.007308331,7412,136,0.018348624
VA,1118518,15587,0.013935404,354766,5081,0.014322117
WA,852824,9904,0.011613182,251585,3523,0.01400322
WV,328162,5336,0.016260262,87820,1361,0.015497609
WI,1120669,11173,0.009969938,522523,5257,0.010060801
WY,115638,1526,0.013196354,44409,438,0.009862866
